name,method,mse_d1,psnr_d1,mse_d2,psnr_d2
basketball_player_vox11_00000390,recon,379.1087103333712,40.006075155331885,155.26290473640574,26.22012653965205
basketball_player_vox11_00000423,recon,373.22302976467665,40.4335380301801,153.69310656363515,26.26425971888085
dancer_vox11_00000025,recon,401.37609119818785,40.601058060691685,159.47727300734934,26.103815600625644
dancer_vox11_00000031,recon,397.1433409046837,40.407125887000355,157.23481776752368,26.165316392027897
dancer_vox11_00000086,recon,407.66477667121967,40.39727346788348,162.48723868844417,26.022611025365116
dancer_vox11_00000477,recon,371.81917033271753,40.41106119111929,157.293643180096,26.163691893418346
exercise_vox11_00000474,recon,306.22999100061094,41.21516880130425,143.01337358173808,26.577037094085863
model_vox11_00000076,recon,436.7429785593315,39.118300697087484,177.22417242612875,25.645574038399165
model_vox11_00000290,recon,408.61860577866463,39.21908486716439,165.450318828366,25.944127524710588
model_vox11_00000493,recon,519.6142460518545,38.62946930605827,202.3882138021029,25.068951433609726
