file,orig_size,stream_size,cratio,num_points,num_out_points,bpip,bpop,mse,rmse,psnr_d1,d1,d2,chamfer
Thaidancer_viewdep_vox12_006531,482.3MB,34.0MB,14.18×,2972298,2972298,96.016515,96.016515,16.342180,4.042546,48.06,2.463847,1.236077,3.699924
Thaidancer_viewdep_vox12_006777,476.2MB,33.8MB,14.09×,2952185,2952185,96.016628,96.016628,15.411311,3.925724,48.32,2.310948,1.280596,3.591544
longdress_vox10_1184,19.1MB,10.1MB,1.89×,880241,880241,96.055767,96.055767,5.285131,2.298941,52.97,1.426015,0.793542,2.219557
longdress_vox10_1297,18.6MB,9.8MB,1.88×,860180,860180,96.057067,96.057067,5.538577,2.353418,52.76,1.377247,0.761014,2.138261
loot_vox10_1135,16.1MB,9.0MB,1.79×,787622,787622,96.062324,96.062324,3.231455,1.797625,55.10,1.105842,0.634321,1.740163
loot_vox10_1214,16.8MB,9.3MB,1.81×,809297,809297,96.060655,96.060655,3.051936,1.746979,55.35,1.044050,0.661013,1.705062
redandblack_vox10_1476,15.1MB,8.4MB,1.80×,732930,732930,96.066975,96.066975,3.835386,1.958414,54.36,1.280450,0.764468,2.044918
redandblack_vox10_1653,15.3MB,8.5MB,1.79×,744101,744101,96.065970,96.065970,3.385760,1.840043,54.90,1.190849,0.709541,1.900391
soldier_vox10_0761,23.1MB,12.5MB,1.85×,1090298,1090298,96.045023,96.045023,6.731641,2.594541,51.92,1.402159,0.813762,2.215920
soldier_vox10_0822,22.9MB,12.5MB,1.84×,1087872,1087872,96.045123,96.045123,4.337234,2.082603,53.83,1.307948,0.800438,2.108386
